epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,lr
1,1544,1.639647,1.639647,101.2519,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1545,1.104776,1.104776,84.2302,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1546,1.393232,1.393232,108.8014,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1547,1.395350,1.395350,100.0283,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1584,1.467772,1.467772,96.0617,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1585,1.454762,1.454762,95.4801,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1586,1.471815,1.471815,99.1353,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1587,1.371081,1.371081,104.4423,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1588,1.625228,1.625228,98.4846,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1589,1.360322,1.360322,102.8973,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1626,2.006211,2.006211,90.0079,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1627,1.481276,1.481276,112.2057,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1628,1.165707,1.165707,81.2920,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1629,1.351099,1.351099,98.9151,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1630,1.120794,1.120794,104.3125,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1631,1.602265,1.602265,104.4332,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1667,1.312840,1.312840,102.4365,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1668,1.751215,1.751215,111.2221,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1669,1.774196,1.774196,117.8295,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1670,1.254758,1.254758,99.8054,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1671,1.351935,1.351935,108.1120,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1672,1.143515,1.143515,118.5473,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1709,1.494016,1.494016,114.0639,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1710,1.758525,1.758525,105.9767,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1711,1.320873,1.320873,109.2467,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1712,1.254251,1.254251,113.6206,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1713,1.183965,1.183965,105.8338,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1714,1.204929,1.204929,101.4119,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1751,1.290639,1.290639,93.7455,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1752,1.162958,1.162958,89.0365,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1753,2.484897,2.484897,113.6561,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1754,2.453576,2.453576,99.7037,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1755,2.055965,2.055965,88.0484,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1756,1.297145,1.297145,72.3330,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1792,2.109793,2.109793,106.2137,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1793,1.445543,1.445543,107.9357,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1794,1.292025,1.292025,98.2653,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1795,1.185080,1.185080,98.4987,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1796,1.078046,1.078046,93.8736,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1797,1.111745,1.111745,95.4002,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1834,1.730416,1.730416,86.1175,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1835,1.522729,1.522729,99.4529,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1836,1.443691,1.443691,104.4437,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1837,1.256950,1.256950,77.3508,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1838,1.257174,1.257174,105.9906,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1839,1.140027,1.140027,98.6667,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1876,1.284544,1.284544,92.3003,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1877,1.087901,1.087901,100.4792,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1878,1.132920,1.132920,95.9386,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1879,1.211888,1.211888,97.0492,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1880,1.002999,1.002999,85.7976,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1881,1.085376,1.085376,88.6331,0.000000,0.000000,0.000000,0.000000,0.00100000
2,1,1.511961,1.511961,93.4396,0.000000,0.000000,0.000000,0.000000,0.00097553
2,2,1.295228,1.295228,94.7789,0.000000,0.000000,0.000000,0.000000,0.00097553
2,3,1.402719,1.402719,97.8955,0.000000,0.000000,0.000000,0.000000,0.00097553
2,4,1.259371,1.259371,96.5203,0.000000,0.000000,0.000000,0.000000,0.00097553
