epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,translation,lr
1,103,6.240853,0.000151,39.2962,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,104,5.624182,0.000137,41.4310,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,105,4.265212,0.000123,43.1701,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,106,6.038712,0.000151,68.1392,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,107,4.863735,0.000172,60.2771,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,108,8.381841,0.000170,35.8094,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,109,5.771734,0.000142,51.4773,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,110,5.254668,0.000145,40.6583,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,111,4.467316,0.000150,63.9483,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,112,5.820187,0.000113,57.6792,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,113,5.016740,0.000118,41.2350,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,114,5.244639,0.000113,55.4856,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,115,4.701423,0.000128,54.2255,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,116,5.469414,0.000131,42.2039,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,117,4.494665,0.000138,47.4639,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,118,4.885125,0.000134,64.3103,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,119,4.664865,0.000156,41.3285,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,120,5.721986,0.000158,52.9930,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,121,5.079011,0.000159,62.4294,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,122,5.141168,0.000123,62.8236,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,123,4.959246,0.000138,43.6327,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,124,6.448650,0.000119,74.5047,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,125,5.397532,0.000128,39.5114,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,126,5.197713,0.000167,52.8823,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,127,6.419206,0.000168,61.6723,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,128,4.516009,0.000143,41.0829,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,129,6.901668,0.000156,103.4618,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,130,5.315877,0.000162,82.7878,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
